,listed_price,value,value_description,make_and_model,year,mileage,trim_level,color,location,additional_description,discount,car_URL,thumbnail_URL,make_first,make_second,state,Accident,Past Owners,Usage,is_Excellent_Price,is_Great_Price,is_Fleet_Use,is_Personal_Use
513,45991,Excellent Price,"$4,333 off avg. list price",Jeep Wrangler,2020,10001,Unlimited Sahara High Altitude,"White exterior, Black interior","Portland, OR","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1C4HJXEN6LW231676/2020-jeep-wrangler/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Jeep,Wrangler, OR,0,1, Personal use,1,0,0,1
514,5995,Excellent Price,$978 off avg. list price,Ford Edge,2011,137848,SEL FWD,"White exterior, Unknown interior","Chesapeake, VA","1 accident, 3 Owners, Fleet use",,https://www.truecar.com/used-cars-for-sale/listing/2FMDK3JCXBBA68745/2011-ford-edge/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,Edge, VA,1,3, Fleet use,1,0,1,0
515,7999,Excellent Price,"$1,051 off avg. list price",Kia Forte,2016,78011,LX Sedan Automatic,"Blue exterior, Black interior","Tacoma, WA","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/KNAFK4A63G5598481/2016-kia-forte/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Kia,Forte, WA,1,1, Personal use,1,0,0,1
516,47497,Excellent Price,"$5,998 off avg. list price",GMC Yukon,2020,43613,XL Denali 2WD,"White exterior, Black interior","Beaverton, OR","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1GKS1HKJ2LR175283/2020-gmc-yukon/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",GMC,Yukon, OR,0,1, Personal use,1,0,0,1
517,8899,Excellent Price,"$1,389 off avg. list price",Ford Escape,2014,76430,SE FWD,"Silver exterior, Unknown interior","Bellevue, WA","No accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1FMCU0GX2EUA53461/2014-ford-escape/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,Escape, WA,0,1, Personal use,1,0,0,1
518,11990,Excellent Price,"$1,746 off avg. list price",Honda CR-V,2013,95177,EX-L AWD,"White exterior, Beige interior","Shrewsbury, NJ","No accidents, 2 Owners, Personal use",Discount Available,https://www.truecar.com/used-cars-for-sale/listing/5J6RM4H79DL033579/2013-honda-cr-v/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Honda,CR-V, NJ,0,2, Personal use,1,0,0,1
519,15153,Excellent Price,"$1,954 off avg. list price",Nissan Rogue,2020,25840,SV AWD,"Black exterior, Black interior","Ft. Myers, FL","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/KNMAT2MV3LP500162/2020-nissan-rogue/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Nissan,Rogue, FL,1,1, Personal use,1,0,0,1
520,6113,Excellent Price,"$1,445 off avg. list price",Ford Focus,2014,100575,SE Hatchback,"Silver exterior, Unknown interior","Salem, OR","No accidents, 2 Owners, Personal use",Upfront Price Available,https://www.truecar.com/used-cars-for-sale/listing/1FADP3K25EL260550/2014-ford-focus/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,Focus, OR,0,2, Personal use,1,0,0,1
521,14995,Excellent Price,"$3,165 off avg. list price",Ford F-150,2011,119079,XLT SuperCrew 5.5' Box 4WD,"White exterior, Unknown interior","Lynnwood, WA","1 accident, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1FTFW1EF5BFA21213/2011-ford-f-150/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,F-150, WA,1,1, Personal use,1,0,0,1
522,13000,Excellent Price,"$1,851 off avg. list price",Ford F-150,2014,90655,STX Regular Cab 6.5' Box RWD,"White exterior, Gray interior","Indianapolis, IN","2 accidents, 1 Owner, Personal use",,https://www.truecar.com/used-cars-for-sale/listing/1FTMF1CM4EKD57617/2014-ford-f-150/,"data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw==",Ford,F-150, IN,2,1, Personal use,1,0,0,1
